Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
43,T.J. Warren,SF,24,PHO,65,2142,17.6,.541,.085,.240,6.1,10.5,8.3,7.2,1.5,1.5,6.7,24.9,,2.6,0.8,3.4,.077,,0.8,-1.6,-0.7,0.7,warretj01
44,Kris Dunn,PG,23,CHI,52,1525,14.5,.488,.201,.171,1.6,14.4,7.8,33.3,3.3,1.6,17.3,24.7,,-1.0,1.9,0.9,.027,,-2.4,1.1,-1.3,0.3,dunnkr01
45,Aaron Gordon,PF,22,ORL,58,1909,16.5,.530,.395,.260,5.0,21.5,13.2,11.7,1.5,1.9,10.0,24.7,,0.9,2.0,2.9,.072,,0.9,-0.6,0.3,1.1,gordoaa01
46,Eric Gordon,SG,29,HOU,69,2154,15.2,.578,.627,.248,1.3,7.5,4.4,11.7,1.0,1.1,10.8,24.7,,2.9,1.8,4.7,.105,,2.0,-1.6,0.4,1.3,gordoer01
47,Khris Middleton,SF,26,MIL,82,2982,17.4,.577,.320,.285,1.8,15.0,8.4,17.7,2.0,0.6,11.8,24.6,,4.6,2.3,6.9,.111,,0.8,-0.8,0.0,1.5,middlkh01
48,Chris Paul,PG,32,HOU,58,1847,24.4,.604,.475,.277,2.3,16.7,9.5,40.9,2.6,0.6,12.5,24.5,,7.5,2.7,10.2,.265,,5.2,1.8,7.1,4.2,paulch01
49,Buddy Hield,SG,25,SAC,80,2024,16.1,.557,.437,.087,3.0,14.8,8.6,12.8,2.1,1.0,11.3,24.3,,1.3,1.5,2.8,.067,,1.6,-0.5,1.0,1.5,hieldbu01
50,Rodney Hood,SG,25,TOT,60,1616,14.3,.546,.443,.172,1.6,9.9,5.8,9.7,1.4,0.6,8.0,24.3,,1.2,1.5,2.7,.081,,0.8,-0.9,-0.1,0.8,hoodro01
51,Dwight Howard,C,32,CHO,81,2463,20.5,.577,.008,.639,11.0,33.8,22.2,7.1,1.0,4.4,15.1,24.2,,2.9,3.9,6.8,.132,,-0.3,0.1,-0.1,1.2,howardw01
52,Nikola Jokić,C,22,DEN,75,2443,24.4,.603,.277,.310,9.0,27.9,18.5,29.6,1.8,2.1,15.5,24.2,,7.8,2.9,10.7,.211,,5.3,1.6,6.9,5.5,jokicni01
53,Tim Hardaway Jr.,SG,25,NYK,57,1885,14.4,.533,.479,.209,1.9,11.3,6.6,12.7,1.6,0.5,9.0,23.8,,1.6,1.1,2.6,.067,,0.5,-1.1,-0.6,0.7,hardati02
54,Jamal Crawford,SG,37,MIN,80,1653,13.0,.519,.423,.152,1.4,5.5,3.5,16.9,1.2,0.5,10.7,23.7,,0.9,0.3,1.3,.037,,0.1,-2.5,-2.3,-0.1,crawfja01
55,Klay Thompson,SG,27,GSW,73,2506,16.0,.598,.442,.083,1.5,10.3,6.2,11.2,1.1,1.1,9.5,23.7,,3.1,1.8,4.9,.094,,1.7,-2.1,-0.4,1.0,thompkl01
56,Brook Lopez,C,29,LAL,74,1735,16.5,.557,.410,.199,4.6,13.4,9.0,11.6,0.8,4.6,10.2,23.5,,1.9,1.9,3.8,.105,,0.7,0.2,0.9,1.3,lopezbr01
57,De'Aaron Fox,PG,20,SAC,73,2026,11.2,.478,.192,.245,1.8,10.0,5.7,24.6,1.7,0.9,16.4,23.4,,-1.7,1.1,-0.6,-0.014,,-2.7,-1.5,-4.2,-1.1,foxde01
58,Andrew Wiggins,SF,22,MIN,82,2979,13.0,.505,.260,.242,3.1,10.8,6.9,8.2,1.5,1.5,8.8,23.4,,0.5,1.6,2.1,.034,,-0.8,-1.7,-2.4,-0.3,wiggian01
59,Evan Fournier,SF,25,ORL,57,1837,15.5,.577,.418,.216,1.4,9.5,5.4,14.8,1.3,0.7,9.8,23.3,,2.4,0.9,3.3,.087,,0.8,-1.4,-0.6,0.7,fournev01
60,Tobias Harris,PF,25,TOT,80,2668,17.1,.565,.364,.177,2.4,15.7,9.0,11.8,1.3,1.1,7.4,23.3,,4.2,2.5,6.7,.120,,2.3,-0.4,1.9,2.6,harrito02
61,Carmelo Anthony,PF,33,OKC,78,2501,12.7,.503,.406,.165,2.9,17.7,10.0,6.5,0.9,1.8,7.3,23.2,,1.2,2.5,3.7,.071,,-0.6,-1.3,-1.9,0.0,anthoca01
62,Jrue Holiday,SG,27,NOP,81,2927,17.8,.570,.286,.191,2.4,10.8,6.8,24.9,2.0,1.7,13.6,23.1,,4.2,2.9,7.1,.116,,1.3,0.3,1.6,2.7,holidjr01
63,Ricky Rubio,PG,27,UTA,77,2254,15.4,.537,.330,.307,2.2,15.3,8.8,28.4,2.7,0.4,18.1,22.9,,1.5,3.8,5.3,.112,,-0.7,1.5,0.7,1.6,rubiori01
64,Karl-Anthony Towns,C,22,MIN,82,2918,24.9,.646,.243,.343,9.3,30.9,20.0,10.8,1.1,3.5,10.5,22.9,,10.6,3.4,14.0,.230,,4.9,0.2,5.1,5.2,townska01
65,Jamal Murray,PG,20,DEN,81,2565,16.1,.576,.411,.238,3.6,9.4,6.5,16.4,1.5,0.9,12.8,22.8,,4.3,1.2,5.5,.103,,1.2,-1.5,-0.3,1.1,murraja01
66,Jonas Valančiūnas,C,25,TOR,77,1727,22.5,.628,.108,.307,12.1,30.3,21.4,7.5,0.8,3.2,12.9,22.7,,4.6,3.0,7.6,.210,,2.4,0.0,2.4,1.9,valanjo01
67,Kent Bazemore,SG,28,ATL,65,1789,14.5,.547,.405,.297,1.6,13.9,7.7,20.1,2.7,2.2,17.0,22.5,,0.2,2.0,2.2,.059,,-0.4,1.0,0.6,1.2,bazemke01
68,Kyle Kuzma,PF,22,LAL,77,2401,14.2,.549,.418,.200,3.9,17.4,10.7,9.1,1.0,1.1,11.0,22.5,,1.5,2.3,3.8,.077,,0.3,-1.0,-0.7,0.8,kuzmaky01
69,Caris LeVert,SF,23,BRK,71,1864,14.2,.525,.333,.254,3.0,11.9,7.4,26.0,2.1,0.9,15.8,22.5,,0.7,1.6,2.3,.058,,-0.8,0.0,-0.8,0.6,leverca01
70,Jeremy Lamb,SG,25,CHO,80,1967,17.0,.559,.305,.250,2.7,15.4,8.9,15.4,1.5,1.4,9.1,22.4,,3.0,1.9,4.9,.120,,1.3,0.2,1.6,1.8,lambje01
71,Ben Simmons,PG,21,PHI,81,2732,20.0,.557,.011,.342,5.9,19.5,13.0,37.4,2.5,2.1,19.5,22.3,,4.2,5.0,9.2,.162,,2.0,2.5,4.5,4.5,simmobe01
72,Rondae Hollis-Jefferson,SF,23,BRK,68,1920,16.9,.548,.075,.436,5.5,20.0,12.7,14.2,1.6,1.9,12.3,22.2,,2.1,2.0,4.1,.103,,-0.3,0.4,0.1,1.0,holliro01
73,Brandon Ingram,SF,20,LAL,59,1975,13.8,.536,.138,.371,3.1,13.8,8.5,17.7,1.1,1.8,14.4,22.2,,1.0,1.8,2.8,.068,,-0.9,-0.3,-1.2,0.4,ingrabr01
74,Taurean Prince,SF,23,ATL,82,2464,12.8,.549,.469,.185,2.3,15.3,8.8,13.9,1.7,1.5,15.3,22.1,,0.0,2.0,2.0,.038,,-0.5,-0.6,-1.1,0.6,princta02
75,Domantas Sabonis,C,21,IND,74,1810,17.5,.567,.056,.339,10.4,25.2,17.8,12.7,1.1,1.6,15.3,22.1,,2.5,2.2,4.7,.126,,-0.6,-0.5,-1.1,0.4,sabondo01
76,Jonathon Simmons,SG,28,ORL,69,2029,12.7,.555,.268,.317,3.3,9.7,6.5,13.3,1.4,0.6,14.4,22.0,,0.8,1.1,1.9,.045,,-1.7,-1.3,-3.1,-0.5,simmojo02
77,Lauri Markkanen,PF,20,CHI,68,2020,15.6,.552,.465,.193,4.0,23.7,13.5,6.4,0.9,1.8,8.2,21.9,,1.7,1.6,3.3,.079,,1.0,-1.2,-0.2,0.9,markkla01
78,Elfrid Payton,PG,23,TOT,63,1808,16.5,.538,.138,.252,3.8,12.8,8.2,34.9,2.2,1.0,18.5,21.9,,1.4,1.4,2.8,.075,,0.1,-0.3,-0.2,0.8,paytoel01
79,Willie Cauley-Stein,C,24,SAC,73,2044,17.6,.529,.016,.320,7.0,22.0,14.2,13.7,1.9,3.1,11.0,21.8,,1.7,2.2,3.9,.092,,-0.4,0.3,-0.1,1.0,caulewi01
80,Enes Freedom,C,25,NYK,71,1830,24.0,.630,.003,.258,16.6,30.6,23.6,9.4,1.0,1.7,13.3,21.8,,5.5,2.1,7.6,.198,,3.3,-1.1,2.2,1.9,kanteen01
81,Kyle Lowry,PG,31,TOR,78,2510,19.5,.598,.631,.276,3.0,16.1,9.7,30.9,1.7,0.6,14.7,21.7,,7.0,3.1,10.2,.194,,4.7,0.5,5.2,4.5,lowryky01
82,Kelly Olynyk,PF,26,MIA,76,1779,17.8,.612,.440,.274,5.6,21.6,13.6,18.7,1.7,1.7,17.1,21.7,,2.8,2.7,5.5,.148,,1.1,1.2,2.3,1.9,olynyke01
83,J.J. Redick,SG,33,PHI,70,2116,15.9,.614,.523,.248,0.5,8.3,4.5,15.1,0.8,0.2,9.6,21.7,,4.8,1.8,6.6,.150,,2.2,-1.1,1.1,1.7,redicjj01
84,Lance Stephenson,SG,27,IND,82,1850,12.4,.495,.327,.179,3.8,22.0,12.9,18.6,1.2,0.8,14.6,21.6,,-0.2,2.0,1.8,.046,,-1.5,-0.3,-1.8,0.1,stephla01
85,Jaylen Brown,SG,21,BOS,70,2152,13.6,.562,.381,.290,3.4,14.0,8.8,8.5,1.6,1.0,12.0,21.4,,1.2,3.2,4.5,.100,,-0.8,0.3,-0.5,0.8,brownja02
86,Andre Drummond,C,24,DET,78,2625,22.9,.555,.012,.448,16.4,36.4,26.2,14.3,2.2,4.3,15.9,21.2,,4.6,5.7,10.3,.189,,1.5,1.7,3.2,3.4,drumman01
87,Dario Šarić,PF,23,PHI,78,2310,15.8,.582,.448,.233,7.5,16.4,12.1,13.0,1.1,0.7,13.1,20.9,,3.8,2.8,6.6,.137,,1.8,-0.5,1.3,1.9,saricda01
88,Ish Smith,PG,29,DET,82,2043,15.4,.525,.126,.145,1.4,10.9,6.1,28.4,1.6,0.9,11.2,20.8,,2.4,2.0,4.4,.102,,-0.3,0.3,0.0,1.0,smithis01
89,Will Barton,SG,27,DEN,81,2683,16.2,.562,.411,.220,3.0,14.2,8.6,18.5,1.5,1.6,11.7,20.7,,4.4,1.8,6.2,.111,,1.6,-0.4,1.1,2.1,bartowi01
90,Marco Belinelli,SG,31,TOT,80,1947,14.1,.581,.517,.213,1.1,7.3,4.3,11.9,1.6,0.5,10.1,20.7,,2.4,1.3,3.7,.092,,0.4,-0.8,-0.5,0.8,belinma01
91,Gary Harris,SG,23,DEN,67,2304,16.5,.597,.434,.178,1.8,6.8,4.3,13.0,2.6,0.5,10.8,20.7,,3.9,1.5,5.5,.114,,1.0,-0.2,0.8,1.7,harriga01
